Feature,Importance
Age,0.15631661954803525
EstimatedSalary,0.0892207683356402
CreditScore,0.08717845024404862
NumOfProducts,0.08602498060708054
Balance,0.08339722121657926
Age_Tenure_Ratio,0.08049158826807375
Balance_Salary_Ratio,0.07512609747327494
Product_Density,0.0489842678739851
Engagement_Product,0.04484787427371035
Tenure,0.033572946880500214
Geography_Germany,0.02698099137660358
Age_Senior,0.02586354282423057
IsActiveMember,0.02312853779047788
Gender_Male,0.017655280510531928
Active_With_Card,0.01519918452691289
HasCrCard,0.01333596834628753
Geography_Spain,0.012937591364260283
Credit_Score_Fair,0.012346682204228389
Age_Middle,0.011998978399706785
High_Balance,0.011036626348671755
Credit_Score_Good,0.010351827615415967
Credit_Score_Poor,0.00982985937859146
Tenure_Medium,0.007664247373144388
Age_Young,0.006001501667931891
Tenure_Long,0.005657705029676783
Tenure_Short,0.004850660522399832
Year,0.0
